,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Output-1,Output-2
84,16,0.25,64,0.26,0.05,0.11,0.88,0.01,0.03,0.011,0.019,0.03,7.23824139,38.53256293,0.145647214,167.6759121,44,18
85,30,0.375,80,0.26,0.01,0.04,1.05,0.01,0.06,0.01,0.027,0.08,7.250062511,45.83897569,0.219278971,172.0043367,41,22
86,16,0.25,64,0.22,0.07,0.31,0.96,0.01,0.09,0.031,0.027,0.2,6.466837017,37.77869195,0.199260457,197.6310476,44,15
88,18,0.25,72,0.28,0.02,0.02,1.21,0.01,0.02,0.013,0.016,0.12,6.91661018,48.90470378,0.233243075,171.5709166,30,7
89,18,0.25,72,0.26,0.02,0.03,1.08,0.01,0.02,0.021,0.021,0.1,7.020101635,44.85811768,0.398534381,161.4158974,40,13
90,22,0.312,70.51282051,0.22,0.03,0.02,0.52,0.01,0.01,0.011,0.024,0.07,11.57185905,26.50013835,0.259565874,150.9676599,44,17
91,30,0.344,87.20930233,0.24,0.01,0.07,0.98,0.01,0.07,0.014,0.025,0.1,7.297556512,41.5508016,0.21253921,177.4828701,50,20
92,18,0.281,64.0569395,0.275,0.024,0.057,0.721,0.011,0.077,0.013,0.024,0.05,10.4164,35.4842,0.3384,161,34,12
93,18,0.281,64.0569395,0.24,0.028,0.061,0.692,0.009,0.054,0.013,0.033,0.028,9.9942,29.2368,0.4422,157.5,43,12.5
94,18,0.281,64.0569395,0.279,0.04,0.293,0.781,0.01,0.077,0.022,0.024,0.117,10.8,41.4828,0.4014,181,34,11
95,18,0.312,57.69230769,0.241,0.021,0.051,0.716,0.005,0.029,0.012,0.025,0.019,10.3834,31.118,0.5386,157.5,48,14
96,18,0.312,57.69230769,0.299,0.026,0.265,0.954,0.013,0.105,0.011,0.021,0.142,10.9108,44.1748,0.1756,185,32,13
97,18,0.25,72,0.238,0.033,0.064,0.871,0.011,0.078,0.01,0.023,0.005,10.6614,35.85,0.2248,157.5,37,13
98,14,0.312,44.87179487,0.295,0.025,0.012,1.11,0.005,0.014,0.013,0.03,0.046,10.451,39.7122,0.2628,157.5,50,8
99,8.625,0.188,45.87765957,0.174,0.018,0.104,0.65,0.005,0.032,0.006,0.02,0.004,10.3696,19.37,0.2484,138.5,52,10
101,12.75,0.219,58.21917808,0.251,0.049,0.024,0.967,0.007,0.014,0.01,0.014,0.007,11.4348,54.0898,0.3456,150.5,23,9
102,8.625,0.277,31.13718412,0.162,0.026,0.097,0.773,0.006,0.028,0.007,0.014,0.008,9.3374,19.6992,0.2255,135.5,46,7
103,8.625,0.25,34.5,0.243,0.048,0.05,1.19,0.015,0.051,0.007,0.012,0.034,12.1348,58.9312,0.2222,165,48,24
104,12.75,0.25,51,0.18,0.122,0.232,0.54,0.005,0.022,0.003,0.016,0.006,10.5198,19.419,0.1594,144.5,43,15
105,22,0.312,70.51282051,0.233,0.022,0.043,0.74,0.004,0.02,0.044,0.019,0.008,11.8396,26.3088,0.2982,161,47,9
107,16,0.53,30.18867925,0.213,0.011,0.008,0.984,0.011,0.008,0.007,0.022,0.042,9.856,37.0976,0.1748,154,42,14
108,12.75,0.203,62.80788177,0.221,0.014,0.06,0.857,0.005,0.017,0.014,0.013,0.028,12.13,33,0.354,165,45,15
109,8.625,0.188,45.87765957,0.239,0.03,0.174,1.09,0.012,0.071,0.012,0.018,0.194,12.4672,38.3774,0.3896,204,45,16
110,20,0.312,64.1025641,0.251,0.037,0.039,1.08,0.011,0.024,0.019,0.02,0.022,11.3642,38.4586,0.20425,176.5,43,14
111,12.75,0.312,40.86538462,0.229,0.024,0.037,0.74,0.007,0.021,0.008,0.018,0.005,10.3944,26.8794,0.7704,154,25,7.5
112,20,0.312,64.1025641,0.192,0.031,0.025,0.7,0.005,0.014,0.008,0.012,0.005,10.5986,28.6084,0.2818,154,23.5,7.5
113,16,0.312,51.28205128,0.146,0.034,0.049,0.46,0.007,0.054,0.015,0.014,0.005,10.0442,27.8418,0.2938,141.5,22,12
114,20,0.312,64.1025641,0.256,0.036,0.072,0.768,0.01,0.03,0.029,0.021,0.008,10.3226,29.413,0.306,154,52,20
115,24,0.312,76.92307692,0.282,0.024,0.01,0.944,0.013,0.009,0.009,0.025,0.067,10.6486,35.613,0.45775,172,38,21
116,16,0.312,51.28205128,0.244,0.03,0.131,0.81,0.01,0.076,0.026,0.019,0.048,11.4818,31.9724,0.422,165,23,7
